Case,Activity,Variant,Timestamp,MorKeyb,Coor_X,Coor_Y,Click,features.experiment.GUI_category.name.TextInput,NameApp,Screenshot
1,A,1,1648056181178,1,518,200,1,NaN,Firefox,1_img.png
1,B,1,1648056181385,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,2_img.png
1,C,1,1648056181817,0,949,146,NaN,Eligendi,CRM,3_img.png
1,D,1,1648056182221,0,826,632,0,NaN,CRM,4_img.png
1,E,1,1648056184391,1,627,438,1,NaN,CRM,5_img.png
1,F,1,1648056184918,0,645,419,NaN,NaN,CRM,6_img.png
2,A,1,1648056185155,1,521,208,1,NaN,Firefox,7_img.png
2,B,1,1648056185523,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,8_img.png
2,C,1,1648056186061,0,945,153,NaN,Sunt,CRM,9_img.png
2,D,1,1648056186629,0,958,639,0,NaN,CRM,10_img.png
2,E,1,1648056190268,1,637,432,1,NaN,CRM,11_img.png
2,F,1,1648056190536,0,616,421,NaN,NaN,CRM,12_img.png
3,A,1,1648056190751,1,515,211,1,NaN,Firefox,13_img.png
3,B,1,1648056191230,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,14_img.png
3,C,1,1648056191857,0,946,146,NaN,Sit,CRM,15_img.png
3,D,1,1648056192583,0,908,631,0,NaN,CRM,16_img.png
3,E,1,1648056195785,1,640,428,1,NaN,CRM,17_img.png
3,F,1,1648056196003,0,638,446,NaN,NaN,CRM,18_img.png
4,A,2,1648056196277,1,521,207,1,NaN,Firefox,19_img.png
4,B,2,1648056196475,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,20_img.png
4,C,2,1648056196922,0,952,160,NaN,Aliquid,CRM,21_img.png
4,D,2,1648056197476,0,823,609,0,NaN,CRM,22_img.png
4,G,2,1648056199381,0,NaN,NaN,NaN,key.ENTER,Firefox,23_img.png
5,A,2,1648056199597,1,520,189,1,NaN,Firefox,24_img.png
5,B,2,1648056200160,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,25_img.png
5,C,2,1648056201299,0,955,143,NaN,Hic,CRM,26_img.png
5,D,2,1648056202420,0,929,609,0,NaN,CRM,27_img.png
5,G,2,1648056208007,0,NaN,NaN,NaN,key.ENTER,Firefox,28_img.png
6,A,1,1648056208575,1,520,200,1,NaN,Firefox,29_img.png
6,B,1,1648056210090,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,30_img.png
6,C,1,1648056210757,0,959,144,NaN,Repellendus,CRM,31_img.png
6,D,1,1648056211575,0,968,637,0,NaN,CRM,32_img.png
6,E,1,1648056214830,1,654,414,1,NaN,CRM,33_img.png
6,F,1,1648056215048,0,604,423,NaN,NaN,CRM,34_img.png
7,A,1,1648056215341,1,499,203,1,NaN,Firefox,35_img.png
7,B,1,1648056215744,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,36_img.png
7,C,1,1648056216421,0,962,146,NaN,Libero,CRM,37_img.png
7,D,1,1648056217065,0,839,626,0,NaN,CRM,38_img.png
7,E,1,1648056219345,1,613,430,1,NaN,CRM,39_img.png
7,F,1,1648056219560,0,621,432,NaN,NaN,CRM,40_img.png
8,A,1,1648056219783,1,505,202,1,NaN,Firefox,41_img.png
8,B,1,1648056220007,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,42_img.png
8,C,1,1648056220480,0,959,157,NaN,Voluptatum,CRM,43_img.png
8,D,1,1648056220835,0,1005,634,0,NaN,CRM,44_img.png
8,E,1,1648056222800,1,606,448,1,NaN,CRM,45_img.png
8,F,1,1648056223009,0,653,437,NaN,NaN,CRM,46_img.png
9,A,2,1648056223226,1,520,199,1,NaN,Firefox,47_img.png
9,B,2,1648056223459,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,48_img.png
9,C,2,1648056223977,0,962,160,NaN,Repudiandae,CRM,49_img.png
9,D,2,1648056224894,0,864,622,0,NaN,CRM,50_img.png
9,G,2,1648056228055,0,NaN,NaN,NaN,key.ENTER,Firefox,51_img.png
