Case,Activity,Variant,Timestamp,MorKeyb,Coor_X,Coor_Y,Click,features.experiment.GUI_category.name.TextInput,NameApp,Screenshot
1,A,1,1648056506999,1,500,197,1,NaN,Firefox,1_img.png
1,B,1,1648056507389,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,2_img.png
1,C,1,1648056508005,0,951,150,NaN,Dignissimos,CRM,3_img.png
1,D,1,1648056509280,0,996,614,0,NaN,CRM,4_img.png
1,E,1,1648056512085,1,659,434,1,NaN,CRM,5_img.png
1,F,1,1648056512300,0,610,430,NaN,NaN,CRM,6_img.png
2,A,2,1648056512508,1,525,214,1,NaN,Firefox,7_img.png
2,B,2,1648056512726,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,8_img.png
2,C,2,1648056513161,0,945,149,NaN,Praesentium,CRM,9_img.png
2,D,2,1648056513643,0,878,621,0,NaN,CRM,10_img.png
2,G,2,1648056515612,0,NaN,NaN,NaN,key.ENTER,Firefox,11_img.png
3,A,1,1648056515825,1,511,200,1,NaN,Firefox,12_img.png
3,B,1,1648056516071,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,13_img.png
3,C,1,1648056516577,0,954,160,NaN,Modi,CRM,14_img.png
3,D,1,1648056517073,0,979,630,0,NaN,CRM,15_img.png
3,E,1,1648056519089,1,609,447,1,NaN,CRM,16_img.png
3,F,1,1648056519303,0,604,446,NaN,NaN,CRM,17_img.png
4,A,1,1648056519525,1,520,199,1,NaN,Firefox,18_img.png
4,B,1,1648056519757,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,19_img.png
4,C,1,1648056520326,0,956,148,NaN,Reprehenderit,CRM,20_img.png
4,D,1,1648056520821,0,946,619,0,NaN,CRM,21_img.png
4,E,1,1648056522693,1,663,426,1,NaN,CRM,22_img.png
4,F,1,1648056522910,0,642,427,NaN,NaN,CRM,23_img.png
5,A,2,1648056523131,1,502,203,1,NaN,Firefox,24_img.png
5,B,2,1648056523353,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,25_img.png
5,C,2,1648056524006,0,952,147,NaN,Voluptatem,CRM,26_img.png
5,D,2,1648056525029,0,864,638,0,NaN,CRM,27_img.png
5,G,2,1648056528316,0,NaN,NaN,NaN,key.ENTER,Firefox,28_img.png
6,A,2,1648056528517,1,510,210,1,NaN,Firefox,29_img.png
6,B,2,1648056528725,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,30_img.png
6,C,2,1648056529241,0,946,149,NaN,Nemo,CRM,31_img.png
6,D,2,1648056529698,0,911,614,0,NaN,CRM,32_img.png
6,G,2,1648056531778,0,NaN,NaN,NaN,key.ENTER,Firefox,33_img.png
7,A,1,1648056532029,1,518,197,1,NaN,Firefox,34_img.png
7,B,1,1648056532236,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,35_img.png
7,C,1,1648056532705,0,950,155,NaN,Ex,CRM,36_img.png
7,D,1,1648056533148,0,821,628,0,NaN,CRM,37_img.png
7,E,1,1648056535163,1,613,446,1,NaN,CRM,38_img.png
7,F,1,1648056535375,0,632,445,NaN,NaN,CRM,39_img.png
8,A,2,1648056535596,1,503,195,1,NaN,Firefox,40_img.png
8,B,2,1648056535813,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,41_img.png
8,C,2,1648056536287,0,949,146,NaN,Quia,CRM,42_img.png
8,D,2,1648056536765,0,848,632,0,NaN,CRM,43_img.png
8,G,2,1648056539488,0,NaN,NaN,NaN,key.ENTER,Firefox,44_img.png
9,A,1,1648056539705,1,517,201,1,NaN,Firefox,45_img.png
9,B,1,1648056540060,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,46_img.png
9,C,1,1648056540527,0,952,142,NaN,Fuga,CRM,47_img.png
9,D,1,1648056541005,0,951,610,0,NaN,CRM,48_img.png
9,E,1,1648056543196,1,634,443,1,NaN,CRM,49_img.png
9,F,1,1648056543397,0,642,419,NaN,NaN,CRM,50_img.png
10,A,2,1648056543616,1,516,198,1,NaN,Firefox,51_img.png
10,B,2,1648056543857,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,52_img.png
10,C,2,1648056544919,0,946,143,NaN,Pariatur,CRM,53_img.png
10,D,2,1648056546491,0,948,622,0,NaN,CRM,54_img.png
10,G,2,1648056549898,0,NaN,NaN,NaN,key.ENTER,Firefox,55_img.png
11,A,1,1648056550434,1,519,200,1,NaN,Firefox,56_img.png
11,B,1,1648056551036,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,57_img.png
11,C,1,1648056551577,0,945,144,NaN,Quibusdam,CRM,58_img.png
11,D,1,1648056552083,0,891,629,0,NaN,CRM,59_img.png
11,E,1,1648056554115,1,601,435,1,NaN,CRM,60_img.png
11,F,1,1648056554328,0,660,427,NaN,NaN,CRM,61_img.png
