Case,Activity,Variant,Timestamp,MorKeyb,Coor_X,Coor_Y,Click,features.experiment.GUI_category.name.TextInput,NameApp,Screenshot
1,A,1,1648055517271,1,508,201,1,NaN,Firefox,1_img.png
1,B,1,1648055517659,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,2_img.png
1,C,1,1648055518131,0,966,151,NaN,Quae,CRM,3_img.png
1,D,1,1648055519348,0,844,630,0,NaN,CRM,4_img.png
1,E,1,1648055522303,1,623,428,1,NaN,CRM,5_img.png
1,F,1,1648055522499,0,642,422,NaN,NaN,CRM,6_img.png
2,A,1,1648055522713,1,500,203,1,NaN,Firefox,7_img.png
2,B,1,1648055522917,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,8_img.png
2,C,1,1648055523131,0,947,158,NaN,Cum,CRM,9_img.png
2,D,1,1648055523498,0,877,621,0,NaN,CRM,10_img.png
2,E,1,1648055526956,1,642,421,1,NaN,CRM,11_img.png
2,F,1,1648055527280,0,663,415,NaN,NaN,CRM,12_img.png
3,A,2,1648055527694,1,504,200,1,NaN,Firefox,13_img.png
3,B,2,1648055528129,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,14_img.png
3,C,2,1648055528537,0,964,154,NaN,Rerum,CRM,15_img.png
3,D,2,1648055528976,0,946,147,NaN,Omnis,CRM,16_img.png
3,E,2,1648055530005,0,NaN,NaN,NaN,key.ENTER,Firefox,17_img.png
4,A,1,1648055530792,1,508,207,1,NaN,Firefox,18_img.png
4,B,1,1648055531212,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,19_img.png
4,C,1,1648055531584,0,943,156,NaN,Ullam,CRM,20_img.png
4,D,1,1648055532493,0,989,627,0,NaN,CRM,21_img.png
4,E,1,1648055535198,1,607,423,1,NaN,CRM,22_img.png
4,F,1,1648055535425,0,650,435,NaN,NaN,CRM,23_img.png
5,A,2,1648055535686,1,512,215,1,NaN,Firefox,24_img.png
5,B,2,1648055535906,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,25_img.png
5,C,2,1648055536115,0,947,149,NaN,Temporibus,CRM,26_img.png
5,D,2,1648055536328,0,956,146,NaN,Atque,CRM,27_img.png
5,E,2,1648055536758,0,NaN,NaN,NaN,key.ENTER,Firefox,28_img.png
6,A,2,1648055537160,1,512,214,1,NaN,Firefox,29_img.png
6,B,2,1648055537378,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,30_img.png
6,C,2,1648055537573,0,943,159,NaN,Natus,CRM,31_img.png
6,D,2,1648055537782,0,946,150,NaN,Tempore,CRM,32_img.png
6,E,2,1648055538212,0,NaN,NaN,NaN,key.ENTER,Firefox,33_img.png
7,A,2,1648055538594,1,511,202,1,NaN,Firefox,34_img.png
7,B,2,1648055538790,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,35_img.png
7,C,2,1648055538982,0,950,145,NaN,Iste,CRM,36_img.png
7,D,2,1648055539199,0,953,141,NaN,Dicta,CRM,37_img.png
7,E,2,1648055539648,0,NaN,NaN,NaN,key.ENTER,Firefox,38_img.png
8,A,2,1648055540041,1,519,191,1,NaN,Firefox,39_img.png
8,B,2,1648055540261,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,40_img.png
8,C,2,1648055540482,0,946,156,NaN,Obcaecati,CRM,41_img.png
8,D,2,1648055540704,0,942,149,NaN,Accusantium,CRM,42_img.png
8,E,2,1648055541131,0,NaN,NaN,NaN,key.ENTER,Firefox,43_img.png
9,A,1,1648055541598,1,503,198,1,NaN,Firefox,44_img.png
9,B,1,1648055541815,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,45_img.png
9,C,1,1648055542034,0,945,147,NaN,Dolores,CRM,46_img.png
9,D,1,1648055542410,0,917,626,0,NaN,CRM,47_img.png
9,E,1,1648055545404,1,623,447,1,NaN,CRM,48_img.png
9,F,1,1648055546394,0,644,416,NaN,NaN,CRM,49_img.png
